,#AUTHID,STATUS
0,02c37028a782cfda660c7243e45244bb,abcdefghijklmnopqrstuvwxyz qwertyuiopasdfghjklzxcvbnm mnbvcxzlkjhgfdsapoiuytrewq DEA DEA DEA :D cartography+Select. Topics in the Geography of China     (????F?add?...) Pa><dol x 2
1,03133a828cd0cf52e3752813ce5d818f,"Feels aweful right now. Why do you get sick like this on weekends only... I better not have to use a sick day tomorrow or I will be pissed. Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this month. Not bad...and to clarify *PROPNAME* is a Crossfit workout, *PROPNAME* get your head out of the gutter Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this week. Life is good Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this month. Not bad Did Cindy 30 times in 20 minutes and GI jane in 12:11. Save the sex joke, its Crossfit. 2010 crossfit games here I come!!!!"
2,03e6c4eca4269c183fa0e1780f73faba,"""I refuse to answer that question on the grounds that I don't know the answer."" ~ *PROPNAME* XD podkanva vseki, koito ima da i prashta snimki ot razlichni meropriyatiya, da go stori v skype vuzmojno nai-skoro... ^^ :P ""Ah, *PROPNAME*. The eyes are open, the mouth moves, but *PROPNAME* has long since departed."" ~ *PROPNAME* XD XD ""In awe I watched the waxing moon ride across the zenith of the heavens like an ambered chariot towards the ebony void of infinite space wherein the tethered belts of Jupiter and Mars hang forever festooned in their orbital majesty. And as I looked at all ""Death and famine stalk the land like two great stalking things."" ~ *PROPNAME* ""Arguments are to be avoided; they are always vulgar and often convincing."" ~ Oscar Wilde xD ""Parents spend the first part of our lives teaching us to walk and talk, and the rest of it telling us to sit down and shut up."" XD ""Those who criticize our generation forget who raised it."""
3,06b055f8e2bca96496514891057913c3,"is enjoying the cricket...comfy boxers and rainy weather...is it too soon for a beer? So...apparently, according to urban dictionary...A women named *PROPNAME* is typically very beautiful with an incredible body and nice eyes. They are known to be very loveable. *PROPNAME* are envied by other women...haha...I wish! is enjoying the cricket but has no fingernails left. is sick of being sick! got home from shopping all evening (*PROPNAME* and kids in tow) and then wrapped presents all night...and it still isnt finished...*yawn* had a great day yesterday thanks to aunties babysitting :0)"
4,0724fe854bd455061ba84efecdeff469,"Life truly has special ways to show us what we need... in the weirdest moments////f i n a l f a n t a s y////""I know. I'm not alone... not anymore."" I want to reconcile the violence in your heart! I want to recognise your beauty is not just a mask! I want to exorcise the demons from your past! I want to satisfy the undisclosed desires in your heart! (Gracias a Sofi por la canción tan genial!) Que es lo que en realidad se debe de hacer? Lo que el corazón dicta o lo que la razon te dice? Es momento de aprender a dejar ir las cosas. Por favor, que aquella luz, guía mía, me lleve a los lugares indicados. Getting ready for the fun! Escapada espiritual al corazón del oráculo... Riviera Maya! Meus somnierum! Oscilando entre la infinidad de la mente y la infinidad del sueño... De vuelta al mundo interno sin límites! Back to the routine, then..."
5,0737e4e4980f56c9fb1cb5743001c917,"just booked the rest of my flights!!!  Hellllooooo adventure!! <3's my purple tights and movie night :) running, photo shoot, playing Asian Nanny! wonders why boys never talk to me is looking forward to the weekend wants to join the circus or pack parachutes loving my lunch from carte415 had the most surreal day Saturday is sad the wood furniture making class is full...small business, voice, and either beginning principles of fashion design or beginning theatre? can't keep having Sundays like yesterday... needs a new hobby always loves seeing *PROPNAME*!  That girl is getting feisty :) yay family day...but it's not even my family has started 2010 very Asian...Hong Kong hair salon, milk tea, and pop corn chicken...love ok I can either spend a day in D.C. 2//17 or stay overnight in LA 2//16...thoughts? alright doppleganger, I used to get the most random ones...but I think *PROPNAME* was the only one that made some sense. is just that good... has bangs I think I'm addicted to buying Chinese stocks...time to look for domestic investments again? s Tuesday sucked...but Wednesday is another day. no matter how long I've been out of high school I'll always fall victim to the Mission ""curse"" should really sleep is trying to figure out what song to sing for my final sometimes I can't believe this is my life :)...tomorrow I'm exploring my neighborhood, North Beach, anyone want to join me for breakfast at Mama's at Washington Square Park? ran, did hill work, yoga, juiced, made an egg white and spinach omelette, and payed my bills...love getting so much done before work :) s landlord brought someone to do work on my apartment and he totally recognized my place from tv...lol, I guess that's more of my 15 minutes...<3 wonders what's causing my recent insomnia... ""runs like a girl, but she runs fast"" -thanks Jo :P is hoping someone has a red dress I can borrow for wednesday running and ramen...what an awesome Tuesday night! Live as if you will die tomorrow.  Learn as if you will live forever. http:////www.ted.com//talks//ben_dunlap_talks_about_a_passionate_life.html stupid t-mobile commercial being filmed in SF today...totally reminding me how much I miss jumping out of planes. can't wait to see what lectures come out of TED2010 !! in Baltimore until Thursday. *PROPNAME* of all trades, master of none, though oft times better than master of one! lunch, STAR Holiday party, UPenn Holiday party, Churchkey Holiday party....oh Thursday, you will kill me can't sleep, feeling creative can't wait to watch, ""Coco Before Chanel"" what fun, I ran into an old college friend at my fashion design class! misses my girl crush...she's just coolness personified is starting to wonder if I enjoy life TOO much...<3 my friends!! dear life..you rock...love *PROPNAME* dear *PROPNAME*...stop spending me...love your bank account rain, tea, and jazz...sounds like a perfect night for writing :) is having yummy food tomorrow instead of voice class...I'll probably pay for this once midterm recitals come around... À coeur vaillant rien d'impossible. today: relaxation by the bay, tomorrow: a trip to Jordan for Petra and the Dead Sea... is home, but can't relax yet...I swear I'm more busy now than when I was working <3's my friends La critique est aisée, mais l'art est difficile. loves all my friends, they care if my drunk ass gets home <3 bleed through my running shoe... has been watching a ton of disney movies instead of getting anything done...on that note, Aladdin is still my favorite in terms of songs and I <3 how all the female characters are so headstrong really?! Qu'est-ce qu'il y a ? might have to trade in bastille day celebrations for a nice quiet night in my apartment...if anyone wants to hang tonight let me know. wants to take a trip through Tunisia, Egypt, Greece, Turkey, Lebanon, Israel, Jordan, Bhutan, Kazakhstan, Xinjiang (China), Mongolia, and end up in Shanghai to see old friends and maybe throw in Hainan for some beachy fun...ok magic travel fairy do your t just made vegan cayenne cupcakes filled with salted caramel sauce and drizzled with lavender icing...from scratch! over today...should have gone to pastry school after deciding law school wasn't for me running in the rain then making my ""red wine and cheese pairing"" cupcake and working on a business outline what's with backhanded compliments...twice in one day I was called a diamond in the rough is back in the left coast is tempted to just disappear into the mountains of Tibet for a while... is excited for the newest movie adaptation of Brave New World!  <3 *PROPNAME* adores my watercolor pencils <3 is re-evaluating...again is *PROPNAME* needs a massage and s.l.e.e.p. is excited to have convinced just about everyone in the office to go to happy hour tonight! had everything go wrong for dinner tonight but ended up exactly where I needed to be for yet another job prospect even though I wasn't looking for one. turns out I actually am allergic to my work is switching back to my 510 phone number and dropping the 415, send me a note if you don't have the number. opened up a bottle of cava because I wanted a mimosa with my dinner...now I just realized I kind of have to finish the bottle myself...uh oh can only take so much shopping, drinking, going out to dinners, hanging out,playing with babies, and flying to random cities...hurry up half marathon, as soon as you're over I get to do some real travel... is traumatized gets super happy every time I hear my favorite Christmas song :D absolutely adores life :D starting to feel like my old self again earned another freckle or two from running the *PROPNAME* Marathon today!! wonders how I keep getting convinced to make cupcakes...making mini vegan version of my bombay elvis cupcakes and trying out a mini red velvet and cream cheese with cabernet some how mixed in...I'll figure it out is having an off day...C'est la vie...tomorrow is another day :) is turning into a hermit is trying to figure out my next travel plans...where, with who, how long, when, etc would rather have too many dreams and reach half of them then not enough dreams to reach for. Merry Christmas my loves! is thinking a trip to Shanghai is long over due...lil' Shanghai is all growns up since I left it! m-u-s-t stop looking at maps... is getting nervous for my first half marathon tomorrow is tempted to skip my voice class today, go home, and make myself some udon or soon tofu stew just turned down a series of paid ads for 944 and a Motocross ad all because I won't be around for February...lol, but what a nice ego boost misses being naive...now I'm jaded and waiting for something to excite me this whole not really traveling in January was the worst idea ever is cooking chicken adobo tonight! wants to make dairy free treats for all my lactose intolerant friends. =) has the Camino De Santiago on my mind again...the effects of receiving emails from my Spaniard friends. has been accepted into the cupcake contest for my Bombay Elvis cupcake...oh it's on! is excited for an old fashion cocktail party tonight, time to pull out my old fave, vodka gimlets, throw on some pearls and channel *PROPNAME* to go with the short hair. is looking at old travel pictures...uh oh... needs a change believe in yourself and life and consequently life will believe in you. wonders why my coworkers always want to drink on my running days... Tell             me and I'll forget,            show me and I may remember, involve me and I will understand. -- Confucius is a lady of leisure... wants to learn how to make French macaroons taking this from my brother's status:  If a con is the opposite of pro... does that make congress the opposite of progress? anyone want to sublease my pretty North Beach studio so I can spend the rest of my life traveling? swim then sauna...that's what I call cross training what a day! wonders if it's a better idea to stay home and not celebrate Hemingway's birthday with free absinthe drinks since I think I'm getting sick :( is going to miss my coworkers....drinks tomorrow, 5:30 at 5A5, then karaoke tbd is flattered s coworkers make me laugh soooooo much <3 :D just booked tickets to New York October 29th thru Nov 3rd, who wants to join me for Halloween in NYC? has travel on my mind"
6,0abd57182992dd9167b88b198350afe4,"Saw a shooting star on number seven of eight 800s. Goals for the next 11 months: (1) Rock the fuck out of the LSAT (2) Run under 3 in the marathon (3) Get into a baller law school (4) Buy a BMW Z4 (5) Laos, Vietnam, Cambodia anyone??? In a cafe...again, doin what I always do. A little tanner, great times, and now very current on hip-hop. Thanks for all the birthday love everyone! The love of my life: repeat 800s on a sunny day. Found a feather sticking out of his Wendy's chicken nugget....at least now we know it's made from a bird right? ""We Americans think you have to accomplish everything quickly. We're the country of thirty-minute lunches and two-minute football drill...[we need to] slow down and make building relationships as important as building projects.""  --*PROPNAME* Had a ridiculous time in Holland with his boys *PROPNAME* and *PROPNAME*. Now he needs some shoes, some finances and a hike up the highest mountain in Poland. ""Oh my God dude, doing 5 tomorrow is going to feel like sex!"" --*PROPNAME* ""Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment."" --Buddha Feeling Hypnotized. My cat squeaks when he stretches. ""Sit back and curiously observe the ride. You're not going to enjoy it, but it is going to take you somewhere."" --Me under the inspiration of some lost muse. Is in Holland baby! My new philosophy: study and get ripped. Fuck everything and everyone else. Asleep with open eyes. Is back Going running down a trail of bright oranges and yellows. I declare myself a mercenary. Have a job? I'll get it done. Real Talk. Pop Rocks are the shit. Marathon in a few days O_O."
7,0bfa3d952ffed50f25011b128e73a820,"is one iteration closer to his desired solution! is one iteration closer to his desired solution. wishes he were in Ithaca.  They get snow... wishes all of his Cornellian friends good luck tomorrow!  Enjoy it, it's a wonderful place. Just did the research and writing for his 12 page term paper in 48 hours.  Revision time! is starting to wonder whether his eyes reflect light in the near-infrared spectrum or something that's just out of sight for humans but visible to cameras, cuz man, if I only had photos to go by I would swear my eyes are red. is feeling rather Odinesque today...in a Ragnarok sorta way. Whutta whutta whutta whutta... Holy Crap!  *PROPNAME*'s has a rewards program that lets you get a free chocolate from the store every month!  How awesome is that? finds fiction much more interesting when you imagine the same actors and voice actors to be the same people instead of different characters.  Holy crap, *PROPNAME*'s father is Liquid Snake!  Hey look, Obi-Wan Kenobi is helping Don Quixote liberate the Arabs in WWI! Is off to see *PROPNAME* and *PROPNAME*!  And I got an awesome gift in the mail today!  And I learned how to construct a book wheel.  Today is just, like, mega-awesome! digs giant robots. is filling his diaries with references to dinosaurs and Bigfoot.  This way, when the world ends and future historians have only my diary for primary sources, they'll think that at least the world was awesome before it ended.  If you care about tricking the future into believing our era was the awesomest ever, I encourage you to do the same.  Together, we can do it! leaves for Chicago tomorrow.  Can't wait!  Now if only the magical packing fairy would visit me... looks a lot more like a young Lenin with his ushanka than he ever realized. is out getting the paper...before the monsters do, am I right? is thankful for all his wonderful friends!  Happy Thanksgiving, everyone!  I wish I could spend it with every one of you. is glad *PROPNAME* has taken responsibility for what happened.  Don't worry, *PROPNAME*, I'm not mad at you! is ready to begin his day fueled with the power of french toast!  Readings: prepare to be read... You can ask me one question (Send it to my inbox). Any question- anything. No matter how awkward it can be I'll answer it honestly, no catch. But, I dare you to put this as your status and see what people ask you.  (I can't resist dares...) has the same Spring Break as *PROPNAME*!  If any Cornellians want a super awesome place to visit during their Spring Break, keep Chicago in mind... Alright Holst, listen up.  I'm going to see your music tomorrow and I don't want anything supernatural to prevent it, got it?  I'm sick of your crap. Dear Online Dictionary Makers, Let people search the text of the entries, not just the entry words.  Make your dictionaries more like a human brain.  Let me search ""make things the same"" and find words that include those words in their definitions.  That would rock. Love, *PROPNAME* wants to be the very best!  Like no one ever was! knows that if we tie our houses together, the world will revolve around us! doesn't want to say goodbye next week.  : ( Geez 18th Century Britons, if you love *PROPNAME* the Great so much, why don't you just marry him? had a pretty good day: kayaking, bughouse dodgeball, four-square, and lap tag.  Plus good conversation... should just become a chef. wants to see a version of that *PROPNAME* story ""Gift of the Magi"" where one of the people receives a Bible, only to inform their friend that they sold their soul to Satan to buy them their gift. has finally started orientation!  Seems pretty good so far. has finally ended orientation!  That was fast...  Perspectives in Social Science, Historical Methods, and Early Modern England will be my classes this quarter, it seems. Holy crap!  Hiero II of Syracuse was a former general of Pyrrhus of Epirus!  I never knew that!  Hiero has the official title of Awesomest Friendhaver in the Ancient World now, so far as I'm concerned.  Pyrrhus and Archimedes, at least!  Go Hiero!  You're MY hero! Merry Christmas, everyone! Holy mother microfilm is a bitch on the eyes.  Dear 1890, learn to write normal Ms and Ns.  Yours look like Ws and Us. danced again last night.  This is starting to become a pattern... First day of classes for a new quarter!  I hope no suddenly loud girls give me coronary thrombosis like last quarter... wants a cottage cheese and pastrami sandwich on banana bread, even if it severely ruins your reputation! is currently preptastic. is getting better at resisting the urge to Ragequit. One paper submitted, two to go. is sick of starting letters with ""dear.""  My friends are more than dear, I'm using different adjectives from now on.  ""Anti-Establishment *PROPNAME*, how are you?  Signed, *PROPNAME*.""  Screw you, convention! 27F, feels like 14F....Ah!  It's like being in Ithaca again!  It feels wonderful!  And yes, *PROPNAME*, I am crazy. feels weird being in the library during Finals Week as a patron... can't help but smile. is done with the MAPSS midterm and much happier because of it. is done!  Hooray! starts his job tomorrow.  Goodbye Freetimesville, hello Moneytown Station! started a Prussia-style diary.  Huh...that didn't take long at all.  http:////todayiwassoawesome.wordpress.com// didn't know the chemicals in jalapeno peppers could make your bare skin feel kinda burny.  Huh. And now all I have to do is pack!  Hooray!  One quarter down, two to go! is off Monday, August 3.  Anyone want to do something then? has finished his skeleton drafts, hooray!  Suck it, essays! reads from his past and mourns the future. actually danced at a dance.  It was fun. recently realized there's a large whole in his theoretical structure of life.  It may be a few interations before he has a working solution. had a MUCH better first day of classes than he expected. wishes he and his friends could burst into random song and dance like in musicals... finally has apartment pictures up. wants a fat little shetland pony who will complete missions for me... Dear everyone: crack open a dictionary and start using ""hypothesis"" and ""theory"" correctly from now on.  It's not that hard, and misusing the word confuses stupid people to whom I then need to listen, which makes me sad.  : ( wonders whether love can bloom, even on a battlefield. just had a great day. feels like a koala crapped a rainbow in his brain! is beginning to miss Chicago and his friends there... Holy crap this is hilarious: http:////www.standforchristmas.com//pages//home Just read these reviews.  What bigoted morons think like this?  Read the ""Offensive"" ones.  They're the best. amas lerni novaj lingvoj! has to start planning his thesis... thinks he's going to make truffles tomorrow...FOR SCIENCE! has the most melodramatic sister in the world... had a great day off... ""I love her better than anybody here, and see her seldomer.  So it often happens in the world.""-*PROPNAME* is looking forward to his new college town. wishes everyone a happy first day of classes yayyyyyyy! just played Quidditch.  It was awesome. returns to Chicago tomorrow!  Yay! Let's see how honest MY FB friends are. Leave a one word comment that you think best describes me. It can only be one word. No more than one word. Then copy & paste this post on your wall so I can leave a word about you. This should be interesting... Well crap.  My computer's software is currently corrupted or something and won't work.  Right before my two Hell Weeks begin.  Wheeee...  Anyone in Chicago have a copy of their Windows XP Professional edition CD I can borrow to reinstall stuff? is liking the new job so far.  Of course, the kids have yet to arrive... lernas Esperanton! loved *PROPNAME*! s New Year's Resolution is to negate everyone else's resolutions. loves Holst oh so much. Come on Massachusetts!  You guys are supposed to be New English!  What happened? is a doctor, not a writer of witty status updates, damnit! is enjoying Chicago immensely.  If only time were passing a little more slowly. thinks he'll start a Prussia-style diary, and this status update will remind him of his choice until he finally acts upon it. just got his mind blown.  Apparently *PROPNAME* from Salute Your Shorts, the rich girl, was played by a Chinese-American actress.  I totally never noticed that.  Ever.  Thank you, www.tvtropes.org for once again, showing that I have a terrible memory. is thinking tonight of his old college town... thinks he'll apply to Pigfarts for next year. remembers a time when he was able to easily find classes because the school actually had its shit together and managed to have a central location with all the course descriptions. has chourico!  The tastiest, most delicious meat known to mankind!  And I'm going to eat the crap out of it! knows he wants to be Canadian, please."
8,0e09a1e89675e72bc2c3f2fac504fced,"If you can't walk in heels take a taxi... Coco Chanel is bloody freezing.... Typical, just when I'm finally able to go out again it's blowing a gale and bloody raining... Just bought a cute pair of purple pumps : ) I've finally arrived creaking into the facebook generation!  Hello everyone is sick in bed.  Coughing like and old hag and looking decidedly ropey : ( Not yet - going to movies tonight..."
9,0ea88660e23db79e2a3c897a5490d0df,"it will be a long week.... ""Only two things are infinite, the universe and human stupidity, and I'm not sure about the former."" -Einstein is hoping this week will be better than the last. ""MSU caught a wolverine. They hit it with a shovel and painted it GREEN!"" Lol! cannot express how glad she is that it is finally friday. I seriously wonder why her body decides now of all times to get sick. is wondering how many people know that the United States' Independence Day is actually the day that they published the Declaration of Independence, not the day they signed it into law. Going off to kick my own ass at the gym once more.... For better or worse, this type of masochism is highly addictive ""I think we should give our new logo to U of M, it should probably be able to coach their football team better than RichRod."" LOL... seriously is excited! I just bought tickets for the Izzone Reunion game.... going back to relive the good ol' days! is excited for the long weekend and the first football game of the season! Go State!!"
