"#AUTHID","STATUS","sEXT","sNEU","sAGR","sCON","sOPN","cEXT","cNEU","cAGR","cCON","cOPN","DATE","NETWORKSIZE","BETWEENNESS","NBETWEENNESS","DENSITY","BROKERAGE","NBROKERAGE","TRANSITIVITY"
"bf749347531c855f7bed0bd259b81557","is helping her husband start his facebook account.  Oh no.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",07/27/09 07:01 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","heard someone say that status updates are the ultimate form of narcissism.  Got her thinkin'.  Could that be true?",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",07/31/09 07:13 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","is wondering how the 8lb kid and the 91lb dog will do in the back of the Altima on a road trip.  I guess we'll see!!",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",07/02/09 05:36 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","drank too much iced tea before bed.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",07/20/09 02:54 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","It's raining, it's pouring...and I just flat ironed my hair.  Bleh.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",08/29/09 09:11 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","is longing for the comfort of familiar.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",08/28/09 08:04 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","is listening to my dog, my husband, and my baby snore...simultaneously.  I AM SURROUNDED!!!",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",07/24/09 11:58 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","is once again wishing for a gardener and a maid.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",07/07/09 06:49 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","doesn't think Carlisle is going to happen this summer.  Sorry guys!",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",08/04/09 10:16 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","messing with her new MacBook Pro, thanks Albemarle County!",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",07/30/09 06:55 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","is hoping *PROPNAME* slept through the night for *PROPNAME*.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",08/23/09 12:51 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Happy Birthday, Cash!",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",09/02/09 10:36 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
