*propname*'s?,,,
"is in kuwait, soon to be at fob warhorse iraq",,,
most people never run far enough on their first wind to find out they've got a second,,,
excited for the wilco show tomorrow!,,,
"american airlines is taking doctors and nurses to haiti for free. please call 212-697-9767. spread the word. if you are looking for ways to be of any help... ups is shipping to haiti for free tomorrow!! it has to be under 50 lbs!! if you have anything to give, round up your stuff and... send it out!! please repost this... to spread the word please repost!!!!",,,
bruker facebook på samisk gahaha,,,
is off to laramie for a couple days!,,,
is about to go to sleep at 9:30pm...old age is setting in,,,
sassafras has the sniffles :(,,,
"""... and then i have a witty response."" -house",,,
i have to be back to work in less than twelve hours,,,
goooo tarheels:),,,
go bears!!!,,,
is looking to hire an end user support technician.,,,
"has extra tickets for the university of chicago graduation.   ... can you believe it?  stand in the rain for 45 minutes, then nobody even bothers to take your tickets when you get to the event.",,,
i'm eating a bagel. does anyone care? probably not. school until 7:30,,,
hey any1 wana go2 the balcony next sat???,,,
i couldnt sleep good last night and really hope i dont start getting tired in the middle of the day.,,,
cannot believe it is wednesday already!,,,
gaaaarrrg!!!,,,
"to ctyers past and present, i urge you to do two things: 1) dust off your garden state soundtrack, there was a reason we listened to it non-stop for 42 days. 2) mark july 16-18 in your calendar - we are all descending on the land of milk and honey.  carlizzle fo' shizzle.",,,
"spent another sleepless night tossing and turning, only to get up at 9 am and deal with a kid who, i swear, has the loudest, most ear-piercing scream i have ever heard (and uses it). to top it all off, i got a call from the clinic saying that i'm anemic, and they want to put me on yet another iron supplement that i can't afford. ftw.",,,
"both times you plan to tell them that and fail each time, so you right one of the longest, heartfelt notes about them to show them the next time you're with them and when you finally find your grand chance to see them and maybe finally tell them that they've meant more to you than anyone else you've ever known you find out that they've just got into a relationship with someone else.",,,
is stealing his net by the lake,,,
back to reality,,,
"being where i'm from, agricultural labor should be much more interesting to me...but, ughhhhhhhh! definately narrowing down potential career paths!",,,
i am officially the dumbest person in the entire world...my life sucks,,,
is glad the hawks won even if i was out in rural india and couldn't watch the game.,,,
doesnt wanna go back to work after vacation :(,,,
"thank you, *propname*, for still being on the ballot so that stupid people could vote for you.",,,
me and *propname* miss *propname*....,,,
so so confused!!! cant wait till the girls get here :),,,
needs to focus!!!!!,,,
is proud to admit she is a 35 year old mom who loves eminem.,,,
hasn't felt the way she feels today in so long it's hard for her to specify.,,,
"starts his job tomorrow.  goodbye freetimesville, hello moneytown station!",,,
i think that *propname* was embarassed that we were blasting the glee soundtrack while crusing around with the top down...i can't imagine why,,,
"""you have your fear, which might become reality, and you have godzilla, which _is_ reality."" -*propname*",,,
mmmm lemon cake with vanilla frosting :),,,
"does it really take cancer or death to bring us to have a heart for our family? really? lord, at this rate, it'll take you coming on the clouds, blowing our minds and shaking us from our complacent lives...complacent in the daily grind. complacent in our justifiable self-pity. complacent in our self-centeredness. it'll take you to show us how wrong we all are.",,,
needz moar!,,,
"4 inches of rain in the last 36 hours, with more to come.  (normal is 8 inches per year.)  plus there is snow on the mountains.",,,
"events of the evening : random lady at the bus stop : do you know what ""no. 11"" beer is? me: is that a bus no. or a course no. random lady : my lab mate said it is a good drink and i can et it here at wsu me (thinking) : seriously ... of all the ppl u could have asked...why me??",,,
yay! just got assigned to the emergency department for my next rotation at hoag. super pumped.,,,
off to work!!,,,
9//9.  finally done.,,,
"barcelona, bueno aires, rio de janerio, san diego...cant make up my mind",,,
thinks 3d glasses make the world a little bit more fun!,,,
just going to grab some raw fish................,,,
"had a great time in the snow, seeing ""mr. big"" with *propname*and *propname*, and is happily relaxing now...but such a pity about *propname*. live life to the fullest :)",,,
didn't sleep 'til 6 am.  can't feel ma toes...,,,
my dogs are so hood.,,,
"got a pair of degu's last night, already causing issues! they are uber cute though.",,,
only 14 chapters left to read...,,,
thinks maybe singing along with the radio during most of the eight-hour ride home didn't help her throat//cough//chestcold thingvery much.,,,
just bought his hadouken! tickets :) anyone else goin?,,,
can't believe she's now allergic to tuyo as well as shrimp!,,,
where am i?,,,
"put his hat on, and spent much of the afternoon collecting mesquite and yucca seeds, then buying them all over the place.  few will ever sprout.  but some will.",,,
"is trying to figure out my next travel plans...where, with who, how long, when, etc",,,
oh god... baby next door wont stop crying grrrr!!,,,
"we have seen them wear purple for four sundays, maybe even rose for one of those sundays. we have prepared our heart, mind, and soul. we now await for his coming... ""o emmanuel, king and lawgiver, desire of the nations, savior of all people, come and set us free, lord our god.""",,,
"my old roomate from englewood, *propname*, is in town.",,,
"true blood is getting me in the halloween spirit. damn, bill is hot.",,,
"has access to money again. unfortunately, it appears to have cost him his typing skills :p",,,
"anotha day, anotha dolla",,,
facebook is all changed - i swear it wasnt that long ago i came on here!,,,
"listening to opera, brahms and browsing through amazon.com.",,,
doesn't know what to do now...,,,
in need of a babysitter the afternoon and evening of uva v. vt...any ideas?  know any great sitters?  help!  :),,,
giants game tonight,,,
t minus 7 days,,,
perseids tonight!...though accompanied with a bright moon. =\ still excited! =],,,
"it's ""fumbles"". it's always been ""fumbles"".",,,
can't wait to head outtt,,,
was too busy watching castle last night (fashion! murder! mayhem!) to upload pics.,,,
woo!,,,
district 9: not perfect but definitely lives up to the hype,,,
"bye ppl! spt has again been amaze n cant wait till next year! especially bye to *propname*, *propname*, *propname*, n *propname* - though im sure ill see u all again at some point! have a great holiday!!! xxxx",,,
*propname* and her friend are coming to visit me next weekend!!! so excited!!!,,,
it's amazing that the amount of news that happens in the world every day always just exactly fits the newspaper,,,
wishes her bro a happy birthday!,,,
made cookies.  her work here is done.,,,
thinks she needs more spontaneity in her life! last night was so much fun! going to uofm on a whim to see old friends! :d,,,
busy designing characters boo wheres steve wen u really need him :(,,,
is *propname*'s bestbian,,,
anyone looking for a roommate in lakeview or lincoln park? any help appreciated... thanks...,,,
here's to all of the runners that went to the xc meet today!  congrats to *propname* for an amazing performance to win the small schools girls varsity race with a blistering time of 19:00 min.  and to the entire girls varsity for taking first place for riverside county.  the boys varsity tied with banning for the #1 spot.,,,
go heels!,,,
golfing! fore!,,,
trecked through the wetness only to discover that class was canceled......,,,
"tell me that you're all right, and everything is all right.",,,
"life is so good! medicine rocks and i am so proud of my man for his stellar performance review today. here comes the first latino microsoft ceo, watch and wait.",,,
gotz new shoes.  hooray!  ^o^,,,
"off to work, then to surf.",,,
snipers get more head,,,
had a great weekend in west michigan.  headed back to atl for a few days.  then i'll be back for *propname*'s wedding!,,,
was hoping some of the punk kids in her apartment complex would nab the jack-o-lanterns off her balcony and give them the honor of a good smash. instead she had to unceremoniously toss them in the dumpster.,,,
sigh... debussy... always puts me in agood mood,,,
"life's challenges are not supposed to paralyze you, they're supposed to help you discover who you are.",,,
